number,value,datetime_start,datetime_complete,duration,params_drop,params_h1,params_h2,params_ldim,params_max_d,params_n_est,user_attrs_encoded_dim,state
0,0.6749696902898711,2026-08-10 11:31:54.869171,2026-08-10 11:36:14.048277,0 days 00:04:19.179106,0.18033450352296262,128,32,48,10,350,96,COMPLETE
1,0.6846118825404052,2026-08-10 11:36:14.076334,2026-08-10 11:40:06.215431,0 days 00:03:52.139097,0.08736874205941257,64,64,32,12,300,64,COMPLETE
2,0.6878691503861881,2026-08-10 11:40:06.242920,2026-08-10 11:42:35.575686,0 days 00:02:29.332766,0.1822634555704315,256,32,32,11,200,64,COMPLETE
3,0.707631837536849,2026-08-10 11:42:35.603544,2026-08-10 11:44:53.021137,0 days 00:02:17.417593,0.14855307303338106,128,32,24,29,150,48,COMPLETE
4,0.7087434122801448,2026-08-10 11:44:53.047550,2026-08-10 11:51:39.581571,0 days 00:06:46.534021,0.28184968246925673,128,64,32,22,400,64,COMPLETE
5,0.7135931499087074,2026-08-10 11:51:39.606981,2026-08-10 11:55:32.961583,0 days 00:03:53.354602,0.10702599800807679,64,64,48,21,200,96,COMPLETE
6,0.7074936411661124,2026-08-10 11:55:32.991446,2026-08-10 12:02:36.432682,0 days 00:07:03.441236,0.21205720315428514,128,32,48,26,350,96,COMPLETE
7,0.7116296961148866,2026-08-10 12:02:36.453220,2026-08-10 12:07:24.249909,0 days 00:04:47.796689,0.09755499660802411,128,32,24,23,350,48,COMPLETE
8,0.6774552330107886,2026-08-10 12:07:24.270136,2026-08-10 12:10:11.330806,0 days 00:02:47.060670,0.1568198488145982,64,64,32,10,250,64,COMPLETE
9,0.679230467216333,2026-08-10 12:10:11.350840,2026-08-10 12:12:08.172454,0 days 00:01:56.821614,0.2266653415629146,256,64,24,11,200,48,COMPLETE
10,0.7012810198650906,2026-08-10 12:12:08.194803,2026-08-10 12:14:56.155915,0 days 00:02:47.961112,0.005388562684445902,64,64,48,17,150,96,COMPLETE
11,0.7063407277069063,2026-08-10 12:14:56.175156,2026-08-10 12:19:03.406195,0 days 00:04:07.231039,0.0694505616460059,64,32,24,21,300,48,COMPLETE
12,0.7142314028640223,2026-08-10 12:19:03.428224,2026-08-10 12:26:47.429218,0 days 00:07:44.000994,0.09365770359715862,128,32,48,21,400,96,COMPLETE
13,0.7071925183043131,2026-08-10 12:26:47.454675,2026-08-10 12:33:59.988031,0 days 00:07:12.533356,0.03403578602473305,64,64,48,18,400,96,COMPLETE
14,0.7071152785438499,2026-08-10 12:34:00.012864,2026-08-10 12:38:31.383548,0 days 00:04:31.370684,0.10283978647989486,256,32,48,17,250,96,COMPLETE
15,0.7055238589211619,2026-08-10 12:38:31.402720,2026-08-10 12:43:38.488443,0 days 00:05:07.085723,0.12997913146083925,128,64,48,25,250,96,COMPLETE
16,0.7120824227286918,2026-08-10 12:43:38.509623,2026-08-10 12:47:28.679565,0 days 00:03:50.169942,0.058778696565553595,64,64,48,20,200,96,COMPLETE
17,0.7072303437376531,2026-08-10 12:47:28.700733,2026-08-10 12:53:54.987843,0 days 00:06:26.287110,0.12191951090617888,128,32,48,30,300,96,COMPLETE
18,0.6997477857938882,2026-08-10 12:53:55.008842,2026-08-10 13:00:09.240081,0 days 00:06:14.231239,0.04031651425943279,64,32,48,14,400,96,COMPLETE
19,0.71087154175867,2026-08-10 13:00:09.259737,2026-08-10 13:03:19.736620,0 days 00:03:10.476883,0.0027994669068728273,256,64,48,25,150,96,COMPLETE
